year,wiki_ref,wiki_query,producer,distributor,name,country,director,cinematography,editing,studio,budget,gross,runtime,music,writer,starring,language,released
2016,/wiki/Inferno_(2016_film),Inferno_(2016_film),"['Brian Grazer', 'Ron Howard']",['Columbia Pictures'],Inferno,['United States'],['Ron Howard'],['Salvatore Totino'],['Salvatore Totino'],[],75000000,220000000,121,['Hans Zimmer'],[],"['Tom Hanks', 'Felicity Jones', 'Ben Foster', 'Sidse Babett Knudsen', 'Omar Sy', 'Irrfan Khan']",English,{{Film date|2016|10|8|[[Florence]]|2016|10|28|United States}}
2016,/wiki/Hacksaw_Ridge,Hacksaw_Ridge,[],['Summit Entertainment'],Hacksaw Ridge,"['United States', 'Australia']",['Mel Gibson'],['Simon Duggan'],['Simon Duggan'],[],40000000,175300000,139,['Rupert Gregson Williams'],[],"['Andrew Garfield', 'Sam Worthington', 'Luke Bracey', 'Teresa Palmer', 'Hugo Weaving', 'Rachel Griffiths', 'Vince Vaughn']",English,{{Film date|2016|9|4|[[73rd Venice International Film Festival|Venice]]|2016|11|3|Australia|2016|11|4|United States}}
2016,/wiki/Loving_(2016_film),Loving_(2016_film),[],[],Loving,"['United Kingdom', 'United States']",['Jeff Nichols'],['Adam Stone'],['Adam Stone'],[],9000000,9200000,123,['David Wingo'],[],"['Joel Edgerton', 'Ruth Negga', 'Marton Csokas', 'Nick Kroll', 'Michael Shannon']",English,{{film date|2016|05|16|[[2016 Cannes Film Festival|Cannes Film Festival]]|2016|11|04|United States|2017|02|03|United Kingdom}}
2016,/wiki/Fantastic_Beasts_and_Where_to_Find_Them_(film),Fantastic_Beasts_and_Where_to_Find_Them_(film),"['David Heyman', 'J. K. Rowling', 'Steve Kloves', 'Lionel Wigram', 'Lionel Wigram']",['Warner Bros. Pictures'],Fantastic Beasts and Where to Find Them,"['United Kingdom', 'United States']",['David Yates'],['Philippe Rousselot'],['Philippe Rousselot'],['Heyday Films'],180000000,814000000,133,['James Newton Howard'],['J. K. Rowling'],"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler', 'Alison Sudol', 'Ezra Miller', 'Samantha Morton', 'Jon Voight', 'Carmen Ejogo', 'Colin Farrell']",English,"{{Film date|df|=|yes|2016|11|10|[[Alice Tully Hall]]|<!--PER WP:FILMRELEASE, THESE TWO DATES ARE ENOUGH-->|2016|11|18|United Kingdom & United States}}"
2016,/wiki/Arrival_(film),Arrival_(film),[],['Paramount Pictures'],Arrival,['United States'],['Denis Villeneuve'],['Bradford Young'],['Bradford Young'],[],47000000,203400000,116,['J_hann J_hannsson'],[],"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg', 'Tzi Ma']",English,{{Film date|2016|09|01|[[73rd Venice Film Festival|Venice]]|2016|11|11|United States}}
2016,/wiki/The_Monster_(2016_film),The_Monster_(2016_film),"['Bryan Bertino', 'Adrienne Biddle', 'Aaron L. Ginsberg']","['A24', 'A24']",The Monster,['United States'],['Bryan Bertino'],['Julie Kirkwood'],['Julie Kirkwood'],"['Atlas Independent', 'Unbroken Pictures']",2700000,62953,91,['Tomandandy'],['Bryan Bertino'],"['Zoe Kazan', 'Ella Ballentine']",English,{{Film date|2016|11|11|United States}}
2016,/wiki/Almost_Christmas_(film),Almost_Christmas_(film),[],"['Universal Studios', 'Universal Pictures']",Almost Christmas,['United States'],['David E. Talbert'],['Larry Blanford'],['Larry Blanford'],[],17000000,42600000,111,['John Paesano'],['David E. Talbert'],"['Kimberly Elise', 'Danny Glover', 'John Michael Higgins', 'Romany Malco', ""Mo'Nique"", 'Nicole Ari Parker', 'J. B. Smoove', 'Gabrielle Union', 'Donnie Simpson', 'David E. Talbert']",English,{{Film date|2016|11|3|[[Regency Village Theater]]|2016|11|11|United States}}
2016,/wiki/Shut_In_(2016_film),Shut_In_(2016_film),"['Ariel Zeitoun', 'Claude Leger', 'Christine Haebler']",['EuropaCorp'],Shut In,"['France', 'Canada']",['Farren Blackburn'],"['Yves Blanger', 'Yves Blanger']","['Yves Blanger', 'Yves Blanger']",[],10000000,13100000,91,['Nathaniel Mchaly'],['Christina Hodson'],"['Naomi Watts', 'Oliver Platt', 'Charlie Heaton', 'Jacob Tremblay', 'David Cubitt', 'Clmentine Poidatz']",English,{{film date|2016|11|11|United States|2016|11|30|France}}
2016,/wiki/USS_Indianapolis:_Men_of_Courage,USS_Indianapolis:_Men_of_Courage,[],"['Saban Capital Group', 'Saban Films']",USS Indianapolis: Men of Courage,['United States'],['Mario Van Peebles'],['Andrzej Sekua'],['Andrzej Sekua'],[],40000000,1600000,130,['Laurent Eyquem'],[],"['Nicolas Cage', 'Tom Sizemore', 'Thomas Jane', 'James Remar', 'Matt Lanter', 'Brian Presley', 'Cody Walker', 'Cody Walker']",English,{{Film date|2016|10|14|United States}}
2016,/wiki/Moana_(2016_film),Moana_(2016_film),['Osnat Shurer'],"['Walt Disney Studios Motion Pictures', 'Walt Disney Studios', 'Motion Pictures']",Moana,['United States'],"['Ron Clements', 'John Musker']",['Rob Dressel'],['Rob Dressel'],[],150000000,643300000,107,"[""'''Songs''':"", ""Opetaia Foa'i"", ""'''Score''':"", 'Mark Mancina']",[],"['Auli_i Cravalho', 'Dwayne Johnson', 'Rachel House', 'Rachel House', 'Temuera Morrison', 'Jemaine Clement', 'Nicole Scherzinger', 'Alan Tudyk']",English,{{Film date|2016|11|14|[[AFI Fest]]|2016|11|23|United States}}
2016,/wiki/The_Edge_of_Seventeen,The_Edge_of_Seventeen,"['James L. Brooks', 'Richard Sakai', 'Julie Ansell', 'Kelly Fremon Craig']",['STX Entertainment'],The Edge of Seventeen,['United States'],['Kelly Fremon Craig'],['Doug Emmett'],['Doug Emmett'],"['Gracie Films', 'Huayi Brothers', 'Huayi Brothers Pictures', 'Tang Media Productions', 'Virgin Produced', 'STXfilms']",9000000,18800000,104,['Atli _rvarsson'],['Kelly Fremon Craig'],"['Hailee Steinfeld', 'Woody Harrelson', 'Blake Jenner', 'Kyra Sedgwick', 'Haley Lu Richardson', 'Hayden Szeto']",English,{{film date|2016|9|16|[[2016 Toronto International Film Festival|TIFF]]|2016|11|18|United States}}
2016,/wiki/Bleed_for_This,Bleed_for_This,[],['Open Road Films'],Bleed for This,['United States'],['Ben Younger'],['Larkin Seiple'],['Larkin Seiple'],[],6000000,6700000,117,['Julia Holter'],[],"['Miles Teller', 'Aaron Eckhart', 'Katey Sagal', 'Ciarn Hinds', 'Ted Levine']",English,{{Film date|2016|09|2|[[Telluride Film Festival|Telluride]]|2016|11|18|United States}}
2016,/wiki/Manchester_by_the_Sea_(film),Manchester_by_the_Sea_(film),[],[],Manchester by the Sea,['United States'],['Kenneth Lonergan'],['Jody Lee Lipes'],['Jody Lee Lipes'],[],8500000,77800000,137,['Lesley Barber'],['Kenneth Lonergan'],"['Casey Affleck', 'Michelle Williams', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']",English,{{Film date|2016|01|23|[[2016 Sundance Film Festival|Sundance]]|2016|11|18|United States}}
2016,/wiki/Nocturnal_Animals,Nocturnal_Animals,[],['Focus Features'],Nocturnal Animals,['United States'],['Tom Ford'],['Seamus McGarvey'],['Seamus McGarvey'],"['Fade to Black', 'Fade to Black']",22500000,31200000,116,['Abel Korzeniowski'],[],"['Amy Adams', 'Jake Gyllenhaal', 'Michael Shannon', 'Aaron Taylor Johnson', 'Isla Fisher', 'Armie Hammer', 'Laura Linney', 'Andrea Riseborough', 'Michael Sheen']",English,{{Film date|2016|09|02|[[73rd Venice International Film Festival|Venice]]|2016|11|18|United States}}
2016,/wiki/A_Street_Cat_Named_Bob_(film),A_Street_Cat_Named_Bob_(film),['Adam Rolston'],['Sony Pictures Releasing'],A Street Cat Named Bob,['United Kingdom'],['Roger Spottiswoode'],['Peter Wunstorf'],['Peter Wunstorf'],"['Stage 6 Films', 'Shooting Script Films', 'Prescience', 'Iris Productions', 'The Exchange']",8000000,8000000,103,"['David Hirschfelder', 'Charlie Fink']",[],"['Luke Treadaway', 'Ruta Gedmintas', 'Joanne Froggatt', 'Anthony Head', 'Caroline Goodall']",English,"{{film date|2016|11|03|London, premiere|2016|11|04|United Kingdom|df|=|y}}"
2016,/wiki/Allied_(film),Allied_(film),"['Graham King', 'Steve Starkey', 'Robert Zemeckis']",['Paramount Pictures'],Allied,"['United Kingdom', 'United States']",['Robert Zemeckis'],"['Don Burgess', 'Don Burgess']","['Don Burgess', 'Don Burgess']",[],106000000,119500000,124,['Alan Silvestri'],['Steven Knight'],"['Brad Pitt', 'Marion Cotillard', 'Jared Harris', 'Simon McBurney', 'Lizzy Caplan']",English,{{Film date|2016|11|9|[[Regency Village Theatre]]|2016|11|23|United States|2016|11|25|United Kingdom}}
2016,/wiki/Bad_Santa_2,Bad_Santa_2,[],"['Broad Green Pictures', 'Miramax']",Bad Santa 2,"['Canada', 'United Kingdom', 'United States']","['Mark Waters', 'Mark Waters']",['Theo van de Sande'],['Theo van de Sande'],[],26000000,23200000,92,['Lyle Workman'],[],"['Billy Bob Thornton', 'Kathy Bates', 'Tony Cox', 'Tony Cox', 'Christina Hendricks', 'Brett Kelly', 'Brett Kelly']",English,{{Film date|2016|11|15|[[New York City]]|2016|11|23|United States}}
2016,/wiki/Miss_Sloane,Miss_Sloane,[],['EuropaCorp'],Miss Sloane,"['France', 'United States']","['John Madden', 'John Madden']",['Sebastian Blenkov'],['Sebastian Blenkov'],[],13000000,9100000,132,['Max Richter'],['Jonathan Perera'],"['Jessica Chastain', 'Mark Strong', 'Gugu Mbatha Raw', 'Michael Stuhlbarg', 'Alison Pill', 'Jake Lacy', 'John Lithgow', 'Sam Waterston']",English,{{Film date|2016|11|11|[[AFI Fest]]|2016|11|25|United States|2017|03|08|France}}
